公司代號,公司名稱,統一編號,_統一編號
1343,旭東環保科技股份有限公司,"	89323361","_	89323361"
1402,遠東新世紀股份有限公司,"	03522600","_	03522600"
1408,中興紡織廠股份有限公司,"	35082604","_	35082604"
1409,新光合成纖維股份有限公司,"	07435515","_	07435515"
1410,南洋染整股份有限公司,"	35286207","_	35286207"
1413,宏洲纖維工業股份有限公司,"	07220710","_	07220710"
1414,東和紡織股份有限公司,"	73141105","_	73141105"
1416,廣豐實業股份有限公司,"	43434316","_	43434316"
1417,嘉裕股份有限公司,"	11825825","_	11825825"
1418,東華合纖股份有限公司,"	11083148","_	11083148"
1419,新光紡織股份有限公司,"	07435901","_	07435901"
1423,利華羊毛工業股份有限公司,"	11311608","_	11311608"
1432,大魯閣實業股份有限公司,"	04690983","_	04690983"
1434,福懋興業股份有限公司,"	14001199","_	14001199"
1435,中福國際股份有限公司,"	03101946","_	03101946"
1436,華友聯開發股份有限公司,"	07510318","_	07510318"
1437,勤益投資控股股份有限公司,"	35535607","_	35535607"
1438,裕豐國際開發股份有限公司,"	03561011","_	03561011"
1439,中和羊毛工業股份有限公司,"	11113403","_	11113403"
1440,臺南紡織股份有限公司,"	68919301","_	68919301"
1441,大東紡織股份有限公司,"	51037304","_	51037304"
1442,名軒開發股份有限公司,"	04615057","_	04615057"
1443,立益紡織股份有限公司,"	04287483","_	04287483"
1444,力麗企業股份有限公司,"	07663290","_	07663290"
1445,大宇紡織股份有限公司,"	07015014","_	07015014"
1446,宏和精密紡織股份有限公司,"	73641170","_	73641170"
1447,力鵬企業股份有限公司,"	33955322","_	33955322"
1449,佳和實業股份有限公司,"	72055019","_	72055019"
1451,年興紡織股份有限公司,"	22266307","_	22266307"
1452,宏益纖維工業股份有限公司,"	43121481","_	43121481"
1453,大將開發股份有限公司,"	07617901","_	07617901"
1454,台灣富綢纖維股份有限公司,"	04301794","_	04301794"
1455,集盛實業股份有限公司,"	43295237","_	43295237"
1456,怡華實業股份有限公司,"	33144175","_	33144175"
1457,宜進實業股份有限公司,"	07669338","_	07669338"
1459,聯發紡織纖維股份有限公司,"	33653494","_	33653494"
1460,宏遠興業股份有限公司,"	22817999","_	22817999"
1463,強盛染整股份有限公司,"	07715023","_	07715023"
1464,得力實業股份有限公司,"	73686632","_	73686632"
1465,偉全實業股份有限公司,"	33700601","_	33700601"
1466,聚隆纖維股份有限公司,"	22976047","_	22976047"
1467,南緯實業股份有限公司,"	69559487","_	69559487"
1468,昶和纖維興業股份有限公司,"	36123364","_	36123364"
1470,大統新創股份有限公司,"	22267777","_	22267777"
1471,首利實業股份有限公司,"	07699023","_	07699023"
1472,三洋紡織纖維股份有限公司,"	07029919","_	07029919"
1473,台南企業股份有限公司,"	68919702","_	68919702"
1474,弘裕企業股份有限公司,"	58003997","_	58003997"
1475,本盟光電股份有限公司,"	23912057","_	23912057"
1476,儒鴻企業股份有限公司,"	35884479","_	35884479"
1477,聚陽實業股份有限公司,"	23609668","_	23609668"
1480,東盟開發實業股份有限公司,"	88121697","_	88121697"
1489,日南紡織股份有限公司,"	56039219","_	56039219"
1503,士林電機廠股份有限公司,"	11039306","_	11039306"
1504,東元電機股份有限公司,"	11332202","_	11332202"
1506,正道工業股份有限公司,"	68193807","_	68193807"
1507,永大機電工業股份有限公司,"	11166702","_	11166702"
1512,瑞利企業股份有限公司,"	85330636","_	85330636"
1513,中興電工機械股份有限公司,"	33029464","_	33029464"
1514,亞力電機股份有限公司,"	03213392","_	03213392"
1515,力山工業股份有限公司,"	55759180","_	55759180"
1516,川飛能源股份有限公司,"	22071751","_	22071751"
1517,利奇機械工業股份有限公司,"	59008318","_	59008318"
1519,華城電機股份有限公司,"	33284077","_	33284077"
1521,大億交通工業製造股份有限公司,"	69408876","_	69408876"
1522,堤維西交通工業股份有限公司,"	22269487","_	22269487"
1524,耿鼎企業股份有限公司,"	22081250","_	22081250"
1525,江申工業股份有限公司,"	35129100","_	35129100"
1526,日馳企業股份有限公司,"	11099726","_	11099726"
1527,鑽全實業股份有限公司,"	20982120","_	20982120"
1528,恩德科技股份有限公司,"	11551634","_	11551634"
1529,樂士股份有限公司,"	34211074","_	34211074"
1530,亞崴機電股份有限公司,"	22224692","_	22224692"
1531,高林股份有限公司,"	29538509","_	29538509"
1532,勤美股份有限公司,"	03474311","_	03474311"
1533,車王電子股份有限公司,"	04827138","_	04827138"
1535,中宇環保工程股份有限公司,"	84252401","_	84252401"
1536,和大工業股份有限公司,"	52264848","_	52264848"
1537,廣隆光電科技股份有限公司,"	23556563","_	23556563"
1538,正峰新能源股份有限公司,"	44947686","_	44947686"
1539,巨庭機械股份有限公司,"	52646207","_	52646207"
1540,喬福機械工業股份有限公司,"	52903090","_	52903090"
1541,錩泰工業股份有限公司,"	23248433","_	23248433"
1550,台全電機股份有限公司,"	11824327","_	11824327"
1557,金豐機器工業股份有限公司,"	58303609","_	58303609"
1558,伸興工業股份有限公司,"	55754185","_	55754185"
1560,中國砂輪企業股份有限公司,"	03089008","_	03089008"
1563,巧新科技工業股份有限公司,"	84980915","_	84980915"
1565,精華光學股份有限公司,"	22195654","_	22195654"
1568,倉佑實業股份有限公司,"	66654986","_	66654986"
1569,濱川企業股份有限公司,"	76404919","_	76404919"
1570,力肯實業股份有限公司,"	36253534","_	36253534"
1580,新麥企業股份有限公司,"	12461082","_	12461082"
1582,信錦企業股份有限公司,"	35966577","_	35966577"
1583,程泰機械股份有限公司,"	52353530","_	52353530"
1584,精剛精密科技股份有限公司,"	80334042","_	80334042"
1585,鎧鉅科技股份有限公司,"	12642444","_	12642444"
1586,和勤精機股份有限公司,"	86985605","_	86985605"
1587,吉茂精密股份有限公司,"	24157564","_	24157564"
1589,永冠能源科技集團股份有限公司,"	41048746","_	41048746"
1590,亞德客國際集團股份有限公司,"	53666460","_	53666460"
1591,英屬開曼群島商駿吉控股股份有限公司,"	53650116","_	53650116"
